N_H,N_Z,mean_BP_H,mean_BP_Z,total_n_killed,total_n_infected
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
12.0,11.0,12.285663859356639,12.945695460000291,0.0,0.0
10.0,13.0,12.224193450395463,10.954050004615631,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,13.0,12.224193450395463,14.051707231080051,0.0,12.0
10.0,12.0,12.224193450395463,13.910818912209557,4.0,12.0
10.0,12.0,12.71980892243201,13.910818912209557,4.0,12.0
8.0,14.0,13.002691497300745,11.923559067608192,4.0,19.0
6.0,16.0,12.113397883383355,12.329935916283915,4.0,28.0
6.0,16.0,12.113397883383355,14.77882963322736,4.0,28.0
6.0,16.0,12.113397883383355,14.77882963322736,4.0,28.0
6.0,16.0,12.113397883383355,14.77882963322736,4.0,28.0
6.0,16.0,12.113397883383355,14.77882963322736,4.0,28.0
6.0,16.0,12.113397883383355,14.77882963322736,4.0,28.0
4.0,18.0,12.198534564436741,13.136737451757654,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,18.0,12.198534564436741,15.99246856146382,4.0,50.0
4.0,17.0,12.198534564436741,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
4.0,17.0,12.475188030455406,16.389399795324408,5.0,50.0
3.0,16.0,13.586852709536593,15.80038370795507,7.0,52.0
3.0,16.0,14.492779356323966,16.37164583253081,7.0,52.0
3.0,15.0,14.492779356323966,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
3.0,15.0,14.945742679717656,16.853742621818743,8.0,52.0
